2.04, 124.424, 120.546, 59.4781, 55.8002
2.06, 126.858, 121.735, 59.4817, 55.7594
2.08, 129.317, 122.925, 59.4849, 55.7187
2.1, 131.799, 124.115, 59.4876, 55.6779
2.12, 134.305, 125.305, 59.4899, 55.6371
2.14, 136.835, 126.495, 59.4917, 55.5963
2.16, 139.389, 127.684, 59.493, 55.5556
2.18, 141.966, 128.874, 59.4938, 55.5148
2.2, 144.568, 130.064, 59.4942, 55.474
2.22, 147.193, 131.254, 59.4941, 55.4332
2.24, 149.842, 132.444, 59.4936, 55.3925
2.26, 152.514, 133.634, 59.4925, 55.3517
2.28, 155.211, 134.824, 59.4911, 55.3109
2.3, 157.931, 136.013, 59.4891, 55.2701
2.32, 160.675, 137.203, 59.4866, 55.2294
2.34, 163.443, 138.393, 59.4837, 55.1886
2.36, 166.235, 139.582, 59.4803, 55.1478
2.38, 169.05, 140.772, 59.4765, 55.107
2.4, 171.889, 141.961, 59.4722, 55.0663
2.42, 174.752, 143.151, 59.4673, 55.0255
2.44, 177.639, 144.34, 59.4621, 54.9847
2.46, 180.55, 145.529, 59.4563, 54.9439
2.48, 183.484, 146.718, 59.4501, 54.9032
2.5, 186.442, 147.907, 59.4434, 54.8624
2.52, 189.424, 149.096, 59.4362, 54.8216
2.54, 192.43, 150.284, 59.4285, 54.7808
2.56, 195.459, 151.473, 59.4204, 54.7401
2.58, 198.512, 152.661, 59.4117, 54.6993
2.6, 201.589, 153.849, 59.4026, 54.6585
2.62, 204.69, 155.037, 59.3931, 54.6177
2.64, 207.815, 156.224, 59.383, 54.577
2.66, 210.963, 157.412, 59.3725, 54.5362
2.68, 214.135, 158.599, 59.3615, 54.4954
2.7, 217.331, 159.786, 59.35, 54.4546
2.72, 220.55, 160.973, 59.338, 54.4139
2.74, 223.793, 162.159, 59.3255, 54.3731
2.76, 227.06, 163.346, 59.3126, 54.3323
2.78, 230.351, 164.532, 59.2992, 54.2915
2.8, 233.665, 165.717, 59.2853, 54.2508
2.82, 237.003, 166.903, 59.2709, 54.21
2.84, 240.365, 168.088, 59.256, 54.1692
2.86, 243.75, 169.273, 59.2407, 54.1284
2.88, 247.16, 170.457, 59.2248, 54.0877
2.9, 250.592, 171.641, 59.2085, 54.0469
2.92, 254.049, 172.825, 59.1917, 54.0061
2.94, 257.529, 174.009, 59.1745, 53.9653
2.96, 261.033, 175.192, 59.1567, 53.9246
2.98, 264.56, 176.375, 59.1385, 53.8838
3, 268.112, 177.557, 59.1197, 53.843
3.02, 271.686, 178.739, 59.1005, 53.8022
3.04, 275.285, 179.921, 59.0808, 53.7615
3.06, 278.907, 181.102, 59.0607, 53.7207
3.08, 282.552, 182.283, 59.04, 53.6799
3.1, 286.222, 183.463, 59.0189, 53.6391
3.12, 289.915, 184.643, 58.9972, 53.5984
3.14, 293.631, 185.822, 58.9751, 53.5576
3.16, 297.371, 187.001, 58.9525, 53.5168
3.18, 301.135, 188.18, 58.9295, 53.476
3.2, 304.922, 189.358, 58.9059, 53.4353
3.22, 308.732, 190.536, 58.8819, 53.3945
3.24, 312.567, 191.713, 58.8573, 53.3537
3.26, 316.425, 192.89, 58.8323, 53.3129
3.28, 320.306, 194.066, 58.8068, 53.2722
3.3, 324.211, 195.241, 58.7809, 53.2314
3.32, 328.139, 196.416, 58.7544, 53.1906
3.34, 332.091, 197.591, 58.7275, 53.1498
3.36, 336.066, 198.765, 58.7001, 53.1091
3.38, 340.065, 199.938, 58.6722, 53.0683
3.4, 344.087, 201.111, 58.6438, 53.0275
3.42, 348.133, 202.284, 58.6149, 52.9867
3.44, 352.202, 203.455, 58.5856, 52.946
3.46, 356.294, 204.626, 58.5558, 52.9052
3.48, 360.41, 205.797, 58.5255, 52.8644
3.5, 364.55, 206.967, 58.4947, 52.8236
3.52, 368.712, 208.136, 58.4634, 52.7829
3.54, 372.899, 209.305, 58.4317, 52.7421
3.56, 377.108, 210.473, 58.3994, 52.7013
3.58, 381.341, 211.64, 58.3667, 52.6606
3.6, 385.597, 212.807, 58.3336, 52.6198
